"age","gender","income","education_level","household_size","employment_status","region","urbanicity","marital_status","n_children","children_flag","housing_tenure","home_type","years_at_address","car_ownership","commute_mode","commute_minutes","spend_30d","web_visits","avg_time_on_site","pages_viewed","device_type","ad_clicks","email_opens","social_media_engagement","search_channel","purchase_amount","pet_ownership","time_visit"
47,"Female",337203,"HighSchool",3,"Employed","R03","Urban","Married",2,1,"Owner","Apartment",11,1,"Car",33,1075,3,6.8,2,"Tablet",0,2,0,"Paid",316,NA,NA
31,"Male",1006367,"Bachelor",1,"Employed","R01","Urban",NA,1,1,"Owner","Townhouse",11,1,"Car",21,1923,5,8,2,"Desktop",0,6,2.9,NA,907,NA,NA
38,"Female",569179,"Master",2,"Employed","R01","Urban","Cohabiting",0,0,"Owner","House",9,0,"Bike",36,381,4,8.1,2,"Desktop",1,12,3.5,"Direct",476,NA,NA
40,"Male",256064,"Master",2,"Employed","R05","Suburban","Cohabiting",2,1,"Owner","Apartment",13,1,"Car",42,682,8,6,1,"Desktop",0,6,4.4,"Organic",0,NA,NA
38,"Female",219163,"Master",3,"Unemployed","R01","Urban","Cohabiting",2,1,"Owner","House",8,0,"Car",30,233,5,4.5,2,"Desktop",1,2,1.8,"Direct",627,"None",920.9
34,"Male",510570,"Bachelor",1,"Employed","R10","Suburban","Cohabiting",2,1,"Owner","Apartment",10,1,"Public",27,764,13,20.7,5,"Mobile",0,8,5.8,"Organic",0,NA,NA
49,"Male",380082,"Master",2,"Employed","R06","Suburban","Cohabiting",1,1,"Owner","House",14,1,"Car",37,848,5,8.7,5,"Mobile",1,2,4,"Paid",886,NA,NA
34,"Male",429722,"HighSchool",1,"Unemployed","R05","Suburban","Cohabiting",3,1,"Owner","House",15,1,"Car",47,1191,14,6.5,6,"Mobile",0,6,5.2,"Direct",209,NA,NA
55,"Female",410795,"HighSchool",5,"Employed","R02","Urban","Married",2,1,"Owner","Apartment",7,1,"Public",21,1468,1,3.5,2,"Mobile",1,3,2.4,"Direct",149,NA,NA
35,"Female",645164,"Other",2,"Employed","R03","Urban","Cohabiting",1,1,"Renter","Apartment",7,1,"Public",26,2369,4,6,3,"Mobile",0,2,3.3,"Paid",233,NA,NA
47,"Male",249158,"HighSchool",5,"SelfEmployed","R02","Urban","Married",1,1,"Owner","Townhouse",11,0,"Bike",24,1091,5,6.7,4,"Mobile",0,3,2.9,"Referral",80,NA,NA
58,"Male",3035853,"Master",4,"Student","R03","Urban","Married",0,0,"Owner","House",15,1,"Remote",0,1291,7,12.2,5,"Mobile",0,4,3.1,"Paid",420,NA,NA
26,"Male",529002,"Bachelor",2,"SelfEmployed","R01","Urban","Cohabiting",1,1,"Owner","Apartment",8,0,"Public",19,2477,7,3.8,2,"Mobile",0,3,2.7,"Organic",293,NA,NA
33,"Male",335037,"HighSchool",2,"SelfEmployed","R01","Urban","Cohabiting",2,1,"Owner","Apartment",7,0,"Car",34,427,7,10,7,"Mobile",0,9,3.2,"Direct",602,NA,NA
34,"Female",415558,"Bachelor",2,"Employed","R01","Urban","Cohabiting",1,1,"Owner","Apartment",7,1,"Walk",46,721,5,8.6,3,"Mobile",0,1,4.4,"Referral",66,NA,NA
NA,"Female",606327,NA,1,"Employed","R03","Urban","Married",3,1,"Owner","House",10,0,"Public",11,891,5,11.8,2,"Mobile",1,3,4,NA,511,NA,NA
33,"Male",637812,"HighSchool",3,"Employed","R04","Urban","Cohabiting",1,1,"Owner","Apartment",7,0,"Public",18,683,6,6.1,5,"Mobile",0,0,1.1,"Direct",202,NA,NA
20,"Female",169538,"PhD",1,"Employed","R01","Urban","Cohabiting",1,1,"Renter","House",2,1,"Car",27,0,4,11.5,4,"Mobile",0,4,2.8,"Paid",264,NA,NA
20,"Female",144441,"PhD",3,"SelfEmployed","R01","Urban","Cohabiting",2,1,"Renter","Apartment",2,1,"Bike",54,0,4,3.6,4,"Mobile",0,2,3.2,"Paid",0,NA,NA
47,"Female",428289,"Bachelor",3,"Employed","R04","Urban","Cohabiting",2,1,"Owner","Townhouse",14,0,"Public",34,1203,9,19.9,8,"Desktop",0,6,5,"Paid",313,NA,NA
33,"Male",713005,"HighSchool",4,"Employed","R10","Suburban","Married",0,0,"Owner","Townhouse",12,0,"Remote",0,2890,7,9.8,2,"Desktop",0,4,3.4,"Referral",125,NA,NA
24,"Male",493084,"Bachelor",6,"Employed","R02","Urban","Single",2,1,"Renter","House",4,1,"Car",15,0,13,11.3,8,"Desktop",0,6,2,"Paid",240,NA,NA
34,"Male",790991,"Master",1,"Employed","R03","Urban","Cohabiting",1,1,"Renter","House",5,1,"Car",33,2694,3,9,3,"Mobile",0,2,0.8,"Organic",0,NA,NA
NA,"Female",561719,NA,4,"SelfEmployed","R01","Urban","Cohabiting",3,1,"Owner","Apartment",11,1,"Bike",32,1528,8,9.2,4,"Mobile",1,4,1.9,NA,99,NA,NA
53,"Male",564321,NA,NA,"Employed","R03","Urban","Cohabiting",3,1,"Owner","Apartment",16,0,"Public",18,4358,5,8.5,5,"Desktop",0,3,4.3,NA,423,NA,NA
32,"Female",1133823,"HighSchool",1,"Student","R02","Urban","Cohabiting",1,1,"Owner","Apartment",6,1,"Car",19,1373,7,9.9,7,"Tablet",0,4,3,"Organic",51,NA,NA
33,"Male",250909,"Master",4,"Employed","R01","Urban","Married",2,1,"Renter","Apartment",6,1,"Car",12,906,6,18.1,5,"Mobile",0,3,4.7,"Paid",868,NA,788.5
24,"Male",291217,"Bachelor",4,"SelfEmployed","R02","Urban","Cohabiting",2,1,"Renter","Apartment",1,1,"Car",33,0,6,7.9,6,"Mobile",0,8,4.8,"Paid",613,NA,NA
39,"Female",557203,"HighSchool",3,"Employed","R01","Urban","Cohabiting",2,1,"Owner","Apartment",9,1,"Bike",24,1107,7,11.9,10,"Mobile",1,7,4.9,"Organic",1027,NA,NA
30,"Female",517468,"Master",1,"Employed","R01","Urban","Cohabiting",1,1,"Owner","Apartment",7,1,"Car",23,1203,10,23.8,8,"Mobile",0,2,4.9,"Organic",142,NA,NA
39,"Male",135139,"HighSchool",3,"Unemployed","R05","Suburban","Single",2,1,"Renter","Townhouse",8,1,"Car",37,0,2,6.3,7,"Desktop",0,6,3.6,"Paid",888,NA,NA
41,"Male",604885,"Master",2,"Student","R03","Urban","Married",1,1,"Owner","Townhouse",9,1,"Car",31,1666,6,14,6,"Mobile",0,5,3.3,"Direct",418,NA,NA
NA,"Male",221364,NA,1,"Unemployed","R04","Urban","Divorced",1,1,"Renter","Apartment",8,0,"Public",27,372,6,9.3,4,"Mobile",1,4,3.4,NA,219,NA,NA
31,"Male",229338,"Bachelor",4,"Employed","R07","Suburban","Single",1,1,"Owner","Apartment",11,1,"Car",26,641,6,15.6,3,"Desktop",0,7,2.9,"Organic",267,NA,NA
39,"Female",1163467,"HighSchool",4,"Student","R01","Urban","Married",1,1,"Owner","Apartment",5,1,"Car",45,1021,4,13.3,4,"Mobile",0,2,2.2,"Paid",0,NA,NA
24,"Male",851879,"Master",2,"Employed","R01","Urban","Cohabiting",1,1,"Owner","Apartment",4,1,"Car",47,1154,6,7.8,6,"Tablet",0,6,2.2,"Organic",166,NA,NA
29,"Male",298198,"Master",1,"Employed","R04","Urban","Single",2,1,"Owner","Apartment",8,1,"Car",38,961,9,NA,2,"Desktop",0,2,3.3,"Organic",115,NA,NA
29,"Female",1125427,"Bachelor",1,"Employed","R02","Urban","Single",0,0,"Owner","Townhouse",5,1,"Bike",14,854,6,8,1,"Tablet",0,7,3.7,"Organic",44,"Dog",NA
21,"Female",336270,"HighSchool",2,"Employed","R08","Suburban","Single",1,1,"Renter","Townhouse",3,0,"Car",48,2479,3,7.1,3,"Desktop",0,4,4.2,"Paid",372,NA,NA
NA,"Female",792351,NA,3,"Employed","R09","Suburban","Single",2,1,"Owner","Other",12,1,"Walk",29,1155,4,10.2,7,"Mobile",0,4,5.6,NA,1021,NA,NA
37,"Female",959529,NA,NA,"Employed","R05","Suburban","Married",1,1,"Owner","House",6,1,"Car",26,1367,6,6.3,2,"Mobile",1,3,2,NA,425,NA,NA
32,"Male",935704,NA,NA,"Employed","R01","Urban","Married",2,1,"Owner","Apartment",8,1,"Car",33,954,4,16.9,6,"Tablet",1,1,1.5,NA,389,NA,767.8
41,"Male",897227,"Master",3,"Unemployed","R06","Suburban","Married",2,1,"Owner","Townhouse",13,1,"Public",35,1596,4,8.3,3,"Mobile",0,2,4.7,"Organic",489,NA,NA
